FID,COUNTYFP,SUM_DP0130,SUM_tot_mo,perc_mom
0,001,10752.000000000000000,10314.428539200000000,0.959303249554000
1,003,5645.000000000000000,5192.769973290000100,0.919888392080000
2,005,88732.000000000000000,88394.927057499997000,0.996201224558000
3,007,8426.000000000000000,8210.298222310000700,0.974400453633000
4,009,10084.000000000000000,7717.809665370000400,0.765352009656000
5,011,4735.000000000000000,4255.757857059999900,0.898787298218000
6,013,7618.000000000000000,6307.442235860000400,0.827965638732000
7,015,6164.000000000000000,5810.598066300000000,0.942666785578000
8,017,6068.000000000000000,5747.271105439999700,0.947144216454000
9,019,3828.000000000000000,2283.636469319999800,0.596561251129000
10,021,2671.000000000000000,2132.680390219999900,0.798457652647000
11,023,3480.000000000000000,3289.425030420000000,0.945237077707000
12,025,2705.000000000000000,1815.909125050000100,0.671315757874000
13,027,12637.000000000000000,9390.497089309999900,0.743095441110000
14,029,40747.000000000000000,39159.009211800003000,0.961028031801000
15,031,1888.000000000000000,608.359145175999970,0.322224123504000
16,033,3456.000000000000000,1574.949049040000100,0.455714423912000
17,035,3667.000000000000000,3253.443666730000100,0.887222161639000
18,037,3481.000000000000000,3395.770886899999800,0.975515911204000
19,039,1786.000000000000000,1102.546500040000000,0.617327267660000
20,041,297.000000000000000,30.836359475100000,0.103826126179000
21,043,3290.000000000000000,2732.284444179999800,0.830481593976000
22,045,14590.000000000000000,12246.658351000000000,0.839387138520000
23,047,90325.000000000000000,89842.246999199997000,0.994655377794000
24,049,2811.000000000000000,1422.405682269999900,0.506014116781000
25,051,3944.000000000000000,3452.466516439999900,0.875371834797000
26,053,5538.000000000000000,5376.095469400000200,0.970764801264000
27,055,34847.000000000000000,34415.430730400003000,0.987615310655000
28,057,4406.000000000000000,4080.305146589999800,0.926079243438000
29,059,23476.000000000000000,22673.976466799999000,0.965836448577000
30,061,41265.000000000000000,38731.370832100001000,0.938601013743000
31,063,8327.000000000000000,7861.958451159999600,0.944152570092000
32,065,9747.000000000000000,9324.646987820000500,0.956668409543000
33,067,18100.000000000000000,17944.020112499999000,0.991382326657000
34,069,4448.000000000000000,3780.605262279999800,0.849956219038000
35,071,12081.000000000000000,10870.926260800001000,0.899836624518000
36,073,3261.000000000000000,3056.353378469999800,0.937244212962000
37,075,6184.000000000000000,5366.381390309999900,0.867784830257000
38,077,2962.000000000000000,2367.639590780000200,0.799338146786000
39,079,1927.000000000000000,1599.632841659999900,0.830115641754000
40,081,54294.000000000000000,53209.935979000002000,0.980033447140000
41,083,7777.000000000000000,7370.628740639999700,0.947747041358000
42,085,11418.000000000000000,10290.951459700000000,0.901291947775000
43,087,5577.000000000000000,4675.871912710000300,0.838420640615000
44,089,5398.000000000000000,3177.403131739999900,0.588625996988000
45,091,6312.000000000000000,5852.290746360000400,0.927169002909000
46,093,7525.000000000000000,7341.501461380000400,0.975614812144000
47,095,2013.000000000000000,1554.876364270000100,0.772417468589000
48,097,2051.000000000000000,1716.208157569999900,0.836766532214000
49,099,2188.000000000000000,1766.480744160000100,0.807349517441000
50,101,5382.000000000000000,4269.180208449999600,0.793233037616000
51,103,31117.000000000000000,28312.370756400000000,0.909868263534000
52,105,3584.000000000000000,2723.852151050000000,0.760003390360000
53,107,3974.000000000000000,3523.058836910000100,0.886527135609000
54,109,6121.000000000000000,5531.491933739999700,0.903690889355000
55,111,5918.000000000000000,4671.933476909999600,0.789444656457000
56,113,2317.000000000000000,1858.263162900000000,0.802012586491000
57,115,3699.000000000000000,3114.114259370000100,0.841880037678000
58,117,4321.000000000000000,4013.537806930000000,0.928844667190000
59,119,23927.000000000000000,21468.046108800001000,0.897230998821000
60,121,2165.000000000000000,1966.707537210000100,0.908409947903000
61,123,2257.000000000000000,1503.069233259999900,0.665958898210000
